X,Y,fid,OBJECTID,SUM_Popula,SUM_Househ,Code_Prov,Province,code_Dist,District,Code_Sect_,Sector,Orientatio,Shape_Leng,Shape_Area,Name,Prov_Engl,ProvName,District_I,Sect_ID1,Sect_ID2,EAs_Num,SAs_Num,Other_Name,Size,kigali_sectors_OBJECTID,kigali_sectors_SUM_Popula,kigali_sectors_SUM_Househ,kigali_sectors_Code_Prov,kigali_sectors_Province,kigali_sectors_code_Dist,kigali_sectors_District,kigali_sectors_Code_Sect_,kigali_sectors_Orientatio,kigali_sectors_Shape_Leng,kigali_sectors_Shape_Area,kigali_sectors_Name,kigali_sectors_Prov_Engl,kigali_sectors_ProvName,kigali_sectors_District_I,kigali_sectors_Sect_ID1,kigali_sectors_Sect_ID2,kigali_sectors_EAs_Num,kigali_sectors_SAs_Num,kigali_sectors_Other_Name,kigali_sectors_Size,province_2,district_2,sector_2,sector_id,Male,Female,Total,period
30.1559125377415,-1.88783885458573,11,11,26008,5995,"1",Umujyi wa Kigali,"12",Gasabo,"1201",Bumbogo,2,0.44847492573,0.00492605194,Gasabo_Bumbogo_1201,Kigali City,Kigali City /Umujyi wa Kigali,2,0,1,51,11,(Gasabo District),1,11,26008.00000000000,5995.00000000000,"1",Umujyi wa Kigali,"12",Gasabo,"1201",2,0.44847492573,0.00492605194,Gasabo_Bumbogo_1201,Kigali City,Kigali City /Umujyi wa Kigali,2,0,1,51,11,(Gasabo District),1,City of Kigali,Gasabo,Bumbogo,"1201","56361","56538","112899","2022"
30.0422838580035,-1.92203858470318,12,12,35048,8855,"1",Umujyi wa Kigali,"12",Gasabo,"1202",Gatsata,2,0.13403539675,0.00048952617,Gasabo_Gatsata_1202,Kigali City,Kigali City /Umujyi wa Kigali,2,0,2,67,13,(Gasabo District),1,12,35048.00000000000,8855.00000000000,"1",Umujyi wa Kigali,"12",Gasabo,"1202",2,0.13403539675,0.00048952617,Gasabo_Gatsata_1202,Kigali City,Kigali City /Umujyi wa Kigali,2,0,2,67,13,(Gasabo District),1,City of Kigali,Gasabo,Gatsata,"1202","24146","22116","46262","2022"
30.2289798570033,-1.87485176502095,13,13,15356,3243,"1",Umujyi wa Kigali,"12",Gasabo,"1203",Gikomero,1,0.2550213711,0.00284988498,Gasabo_Gikomero_1203,Kigali City,Kigali City /Umujyi wa Kigali,2,0,3,22,5,(Gasabo District),1,13,15356.00000000000,3243.00000000000,"1",Umujyi wa Kigali,"12",Gasabo,"1203",1,0.25502137110,0.00284988498,Gasabo_Gikomero_1203,Kigali City,Kigali City /Umujyi wa Kigali,2,0,3,22,5,(Gasabo District),1,City of Kigali,Gasabo,Gikomero,"1203","9567","10063","19630","2022"
30.061291856002,-1.91777463981155,14,14,39375,10572,"1",Umujyi wa Kigali,"12",Gasabo,"1204",Gisozi,2,0.11023617153,0.00067502451,Gasabo_Gisozi_1204,Kigali City,Kigali City /Umujyi wa Kigali,2,0,4,65,13,(Gasabo District),1,14,39375.00000000000,10572.00000000000,"1",Umujyi wa Kigali,"12",Gasabo,"1204",2,0.11023617153,0.00067502451,Gasabo_Gisozi_1204,Kigali City,Kigali City /Umujyi wa Kigali,2,0,4,65,13,(Gasabo District),1,City of Kigali,Gasabo,Gisozi,"1204","38995","36616","75611","2022"
30.0640332457529,-1.8643281441435,15,15,29375,6280,"1",Umujyi wa Kigali,"12",Gasabo,"1205",Jabana,1,0.26531055652,0.00295732768,Gasabo_Jabana_1205,Kigali City,Kigali City /Umujyi wa Kigali,2,0,5,48,10,(Gasabo District),1,15,29375.00000000000,6280.00000000000,"1",Umujyi wa Kigali,"12",Gasabo,"1205",1,0.26531055652,0.00295732768,Gasabo_Jabana_1205,Kigali City,Kigali City /Umujyi wa Kigali,2,0,5,48,10,(Gasabo District),1,City of Kigali,Gasabo,Jabana,"1205","31600","32262","63862","2022"
30.0165907045319,-1.88246899431067,16,16,22705,5266,"1",Umujyi wa Kigali,"12",Gasabo,"1206",Jali,2,0.3507260663,0.00303788333,Gasabo_Jali_1206,Kigali City,Kigali City /Umujyi wa Kigali,2,0,6,40,8,(Gasabo District),1,16,22705.00000000000,5266.00000000000,"1",Umujyi wa Kigali,"12",Gasabo,"1206",2,0.35072606630,0.00303788333,Gasabo_Jali_1206,Kigali City,Kigali City /Umujyi wa Kigali,2,0,6,40,8,(Gasabo District),1,City of Kigali,Gasabo,Jali,"1206","20279","20877","41156","2022"
30.0804667450858,-1.93761389616276,17,17,35589,8936,"1",Umujyi wa Kigali,"12",Gasabo,"1207",Kacyiru,1,0.10689764844,0.00047018879,Gasabo_Kacyiru_1207,Kigali City,Kigali City /Umujyi wa Kigali,2,0,7,64,12,(Gasabo District),1,17,35589.00000000000,8936.00000000000,"1",Umujyi wa Kigali,"12",Gasabo,"1207",1,0.10689764844,0.00047018879,Gasabo_Kacyiru_1207,Kigali City,Kigali City /Umujyi wa Kigali,2,0,7,64,12,(Gasabo District),1,City of Kigali,Gasabo,Kacyiru,"1207","15994","14042","30036","2022"
30.0883095382068,-1.95429278586164,18,18,23917,6094,"1",Umujyi wa Kigali,"12",Gasabo,"1208",Kimihurura,1,0.10318351539,0.00041225104,Gasabo_Kimihurura_1208,Kigali City,Kigali City /Umujyi wa Kigali,2,0,8,45,9,(Gasabo District),1,18,23917.00000000000,6094.00000000000,"1",Umujyi wa Kigali,"12",Gasabo,"1208",1,0.10318351539,0.00041225104,Gasabo_Kimihurura_1208,Kigali City,Kigali City /Umujyi wa Kigali,2,0,8,45,9,(Gasabo District),1,City of Kigali,Gasabo,Kimihurura,"1208","8599","7826","16425","2022"
30.1242275386066,-1.93836013131387,19,19,53311,12107,"1",Umujyi wa Kigali,"12",Gasabo,"1209",Kimironko,2,0.1484037164,0.00092124043,Gasabo_Kimironko_1209,Kigali City,Kigali City /Umujyi wa Kigali,2,0,9,85,16,(Gasabo District),1,19,53311.00000000000,12107.00000000000,"1",Umujyi wa Kigali,"12",Gasabo,"1209",2,0.14840371640,0.00092124043,Gasabo_Kimironko_1209,Kigali City,Kigali City /Umujyi wa Kigali,2,0,9,85,16,(Gasabo District),1,City of Kigali,Gasabo,Kimironko,"1209","31721","30012","61733","2022"
30.096505778044,-1.90894334403241,20,20,50691,13954,"1",Umujyi wa Kigali,"12",Gasabo,"1210",Kinyinya,1,0.21787834124,0.00196668865,Gasabo_Kinyinya_1210,Kigali City,Kigali City /Umujyi wa Kigali,2,1,0,88,16,(Gasabo District),1,20,50691.00000000000,13954.00000000000,"1",Umujyi wa Kigali,"12",Gasabo,"1210",1,0.21787834124,0.00196668865,Gasabo_Kinyinya_1210,Kigali City,Kigali City /Umujyi wa Kigali,2,1,0,88,16,(Gasabo District),1,City of Kigali,Gasabo,Kinyinya,"1210","63081","62319","125400","2022"
30.1868266419654,-1.93357564852685,21,21,36616,9033,"1",Umujyi wa Kigali,"12",Gasabo,"1211",Ndera,2,0.4156212487,0.00409486942,Gasabo_Ndera_1211,Kigali City,Kigali City /Umujyi wa Kigali,2,1,1,66,14,(Gasabo District),1,21,36616.00000000000,9033.00000000000,"1",Umujyi wa Kigali,"12",Gasabo,"1211",2,0.41562124870,0.00409486942,Gasabo_Ndera_1211,Kigali City,Kigali City /Umujyi wa Kigali,2,1,1,66,14,(Gasabo District),1,City of Kigali,Gasabo,Ndera,"1211","48058","47106","95164","2022"
30.1127257907648,-1.85117694957655,22,22,23107,5666,"1",Umujyi wa Kigali,"12",Gasabo,"1212",Nduba,2,0.3241642392,0.00378313787,Gasabo_Nduba_1212,Kigali City,Kigali City /Umujyi wa Kigali,2,1,2,48,11,(Gasabo District),1,22,23107.00000000000,5666.00000000000,"1",Umujyi wa Kigali,"12",Gasabo,"1212",2,0.32416423920,0.00378313787,Gasabo_Nduba_1212,Kigali City,Kigali City /Umujyi wa Kigali,2,1,2,48,11,(Gasabo District),1,City of Kigali,Gasabo,Nduba,"1212","33609","34815","68424","2022"
30.1060761404465,-1.94755512201941,23,23,42782,11541,"1",Umujyi wa Kigali,"12",Gasabo,"1213",Remera,2,0.17194416882,0.00059069984,Gasabo_Remera_1213,Kigali City,Kigali City /Umujyi wa Kigali,2,1,3,76,15,(Gasabo District),1,23,42782.00000000000,11541.00000000000,"1",Umujyi wa Kigali,"12",Gasabo,"1213",2,0.17194416882,0.00059069984,Gasabo_Remera_1213,Kigali City,Kigali City /Umujyi wa Kigali,2,1,3,76,15,(Gasabo District),1,City of Kigali,Gasabo,Remera,"1213","20300","18348","38648","2022"
30.2363178021011,-1.98214188267182,24,24,32277,7239,"1",Umujyi wa Kigali,"12",Gasabo,"1214",Rusororo,1,0.37734487662,0.00424574175,Gasabo_Rusororo_1214,Kigali City,Kigali City /Umujyi wa Kigali,2,1,4,57,13,(Gasabo District),1,24,32277.00000000000,7239.00000000000,"1",Umujyi wa Kigali,"12",Gasabo,"1214",1,0.37734487662,0.00424574175,Gasabo_Rusororo_1214,Kigali City,Kigali City /Umujyi wa Kigali,2,1,4,57,13,(Gasabo District),1,City of Kigali,Gasabo,Rusororo,"1214","30812","30975","61787","2022"
